# desert area

img=images/tilesets/tileset_desert.png

# desert tiles (use in a 4x4 repeating grid for best results)
tile=24,0,0,64,96,32,80
tile=25,64,0,64,96,32,80
tile=26,128,0,64,96,32,80
tile=27,192,0,64,96,32,80
tile=28,256,0,64,96,32,80
tile=29,320,0,64,96,32,80
tile=30,384,0,64,96,32,80
tile=31,448,0,64,96,32,80
tile=32,512,0,64,96,32,80
tile=33,576,0,64,96,32,80
tile=34,640,0,64,96,32,80
tile=35,704,0,64,96,32,80
tile=36,768,0,64,96,32,80
tile=37,832,0,64,96,32,80
tile=38,896,0,64,96,32,80
tile=39,960,0,64,96,32,80

# old stonework path
tile=40,0,96,64,96,32,80
tile=41,64,96,64,96,32,80
tile=42,128,96,64,96,32,80
tile=43,192,96,64,96,32,80
tile=44,256,96,64,96,32,80
tile=45,320,96,64,96,32,80
tile=46,384,96,64,96,32,80
tile=47,448,96,64,96,32,80
tile=48,512,96,64,96,32,80
tile=49,576,96,64,96,32,80
tile=50,640,96,64,96,32,80
tile=51,704,96,64,96,32,80
tile=52,768,96,64,96,32,80
tile=53,832,96,64,96,32,80
tile=54,896,96,64,96,32,80
tile=55,960,96,64,96,32,80

# cliffs
tile=56,0,192,64,96,32,80
tile=57,64,192,64,96,32,80
tile=58,128,192,64,96,32,80
tile=59,192,192,64,96,32,80
tile=60,256,192,64,96,32,80
tile=61,320,192,64,96,32,80
tile=62,384,192,64,96,32,80
tile=63,448,192,64,96,32,80
tile=64,512,192,64,96,32,80
tile=65,576,192,64,96,32,80
tile=66,640,192,64,96,32,80
tile=67,704,192,64,96,32,80
tile=68,768,192,64,96,32,80
tile=69,832,192,64,96,32,80
tile=70,896,192,64,96,32,80
tile=71,960,192,64,96,32,80

# cliffs
tile=72,0,288,64,96,32,80
tile=73,64,288,64,96,32,80
tile=74,128,288,64,96,32,80
tile=75,192,288,64,96,32,80
tile=76,256,288,64,96,32,80
tile=77,320,288,64,96,32,80
tile=78,384,288,64,96,32,80
tile=79,448,288,64,96,32,80

# tents
tile=80,512,288,64,96,32,80
tile=81,576,288,64,96,32,80
tile=82,640,288,64,96,32,80
