
image=images/npcs/zombie.png

[stance]
frames=4
duration=480ms
type=back_forth
frame=0,0,3591,0,26,56,11,50
frame=0,1,4668,0,31,54,14,51
frame=0,2,5490,0,30,53,11,50
frame=0,3,5696,0,28,53,7,49
frame=0,4,4773,54,28,51,7,47
frame=0,5,3433,56,26,49,8,46
frame=0,6,5448,53,28,52,9,47
frame=0,7,4058,0,26,55,9,48
frame=1,0,3617,0,26,56,11,50
frame=1,1,4699,0,31,54,14,51
frame=1,2,5520,0,30,53,11,50
frame=1,3,5724,0,28,53,7,49
frame=1,4,4801,54,28,51,7,47
frame=1,5,3459,56,26,49,8,46
frame=1,6,5476,53,28,52,9,47
frame=1,7,4084,0,26,55,9,48
frame=2,0,4162,0,25,55,11,50
frame=2,1,4730,0,31,54,14,51
frame=2,2,4792,0,30,54,11,51
frame=2,3,5580,0,29,53,7,49
frame=2,4,4744,54,29,51,7,47
frame=2,5,3485,56,26,49,8,46
frame=2,6,4829,54,28,51,9,46
frame=2,7,4110,0,26,55,9,48
frame=3,0,4187,0,25,55,11,50
frame=3,1,4761,0,31,54,14,51
frame=3,2,4000,0,30,55,11,51
frame=3,3,5609,0,29,53,6,49
frame=3,4,4654,54,30,51,7,47
frame=3,5,3571,56,27,48,8,45
frame=3,6,4857,54,28,51,9,46
frame=3,7,4136,0,26,55,9,48
